name,Ettlingen,Durmersheim,Bad Herrenalb,Gernsbach,Gaggenau,Remchingen,Rastatt,Rheinstetten,Bad Wildbad,Neuenbürg,Baden-Baden,Malsch,Waldbronn
Ettlingen,0,10.06,15.99,20.41,16.66,11.96,17.28,7.76,23.68,16.93,23.51,8.32,4.79
Durmersheim,10.06,0,19.28,19.45,14.88,22.02,9.52,4.9,28.84,25.17,19.23,7.15,14.48
Bad Herrenalb,15.99,19.28,0,8.34,8.66,19.57,18.01,21.06,9.84,12.21,15.13,12.13,14.18
Gernsbach,20.41,19.45,8.34,0,4.57,26.99,14.08,22.88,15.63,20.54,7.19,13.4,20.32
Gaggenau,16.66,14.88,8.66,4.57,0,24.7,10.15,18.42,17.85,20.24,7.5,9.08,17.36
Remchingen,11.96,22.02,19.57,26.99,24.7,0,28.46,19.14,22.49,11.81,32.19,18.83,8.05
Rastatt,17.28,9.52,18.01,14.08,10.15,28.46,0,14.39,27.7,27.82,10.95,9.66,20.41
Rheinstetten,7.76,4.9,21.06,22.88,18.42,19.14,14.39,0,29.98,24.49,23.63,9.56,12.55
Bad Wildbad,23.68,28.84,9.84,15.63,17.85,22.49,27.7,29.98,0,11.06,22.78,21.71,20.34
Neuenbürg,16.93,25.17,12.21,20.54,20.24,11.81,27.82,24.49,11.06,0,27.24,19.06,12.4
Baden-Baden,23.51,19.23,15.13,7.19,7.5,32.19,10.95,23.63,22.78,27.24,0,15.34,24.73
Malsch,8.32,7.15,12.13,13.4,9.08,18.83,9.66,9.56,21.71,19.06,15.34,0,10.79
Waldbronn,4.79,14.48,14.18,20.32,17.36,8.05,20.41,12.55,20.34,12.4,24.73,10.79,0
