name,Ettlingen,Durmersheim,Bad Herrenalb,Gernsbach,Gaggenau,Remchingen,Rastatt,Rheinstetten,Bad Wildbad,Neuenbürg,Baden-Baden,Malsch,Waldbronn
Ettlingen,N/A,12.09,19.31,25.96,21.38,15.66,17.72,8.88,32.09,21.52,29.49,9.51,5.53
Durmersheim,12.09,N/A,22.97,23.24,17.84,27.53,10.4,6.81,42.31,33.39,24.86,8.19,17.39
Bad Herrenalb,19.31,22.97,N/A,10.94,13.78,23.71,24.58,27.71,22.21,17.19,19.78,14.89,16.29
Gernsbach,25.96,23.24,10.94,N/A,5.72,34.4,18.05,29.67,30.0,28.2,8.86,17.06,25.99
Gaggenau,21.38,17.84,13.78,5.72,N/A,30.19,12.79,24.19,34.26,28.27,8.98,12.3,21.78
Remchingen,15.66,27.53,23.71,34.4,30.19,N/A,33.37,24.35,27.82,15.06,38.12,25.16,10.53
Rastatt,17.72,10.4,24.58,18.05,12.79,33.37,N/A,16.61,44.92,36.13,15.28,11.27,22.98
Rheinstetten,8.88,6.81,27.71,29.67,24.19,24.35,16.61,N/A,40.96,30.39,29.52,13.04,14.39
Bad Wildbad,32.09,42.31,22.21,30.0,34.26,27.82,44.92,40.96,N/A,13.86,40.33,34.29,27.56
Neuenbürg,21.52,33.39,17.19,28.2,28.27,15.06,36.13,30.39,13.86,N/A,36.32,25.53,16.64
Baden-Baden,29.49,24.86,19.78,8.86,8.98,38.12,15.28,29.52,40.33,36.32,N/A,20.5,29.79
Malsch,9.51,8.19,14.89,17.06,12.3,25.16,11.27,13.04,34.29,25.53,20.5,N/A,14.92
Waldbronn,5.53,17.39,16.29,25.99,21.78,10.53,22.98,14.39,27.56,16.64,29.79,14.92,N/A
