name,Ettlingen,Durmersheim,Bad Herrenalb,Gernsbach,Gaggenau,Herxheim bei Landau/Pfalz,Wörth am Rhein,Rastatt,Landau in der Pfalz,Rheinstetten,Baden-Baden,Kandel,Malsch,Waldbronn,Karlsruhe
Ettlingen,0.0,19.79,28.77,34.29,26.89,38.64,27.67,23.34,45.98,15.7,36.84,31.64,15.98,11.53,16.14
Durmersheim,20.07,0.0,31.1,33.87,26.47,41.4,30.43,18.91,48.74,11.11,38.72,34.39,10.3,27.16,24.86
Bad Herrenalb,29.02,31.07,0.0,20.92,22.64,62.6,51.63,38.97,69.94,38.71,37.45,55.59,21.74,21.95,40.1
Gernsbach,33.7,34.18,20.91,0.0,11.96,59.79,48.82,29.83,67.13,36.85,17.94,52.78,28.73,35.46,39.88
Gaggenau,25.71,26.18,22.76,11.63,0.0,51.8,40.82,21.83,59.14,28.86,17.58,44.79,20.61,26.42,31.88
Herxheim bei Landau/Pfalz,39.31,43.49,63.21,60.32,52.92,0.0,18.68,49.37,19.37,34.96,62.87,15.06,44.17,45.97,34.93
Wörth am Rhein,27.78,31.86,51.68,48.79,41.39,18.28,0.0,37.84,26.1,23.43,51.34,11.75,32.63,34.44,23.4
Rastatt,22.73,18.28,38.15,27.92,20.52,48.82,37.84,0.0,56.16,24.24,25.87,41.81,19.96,29.39,28.9
Landau in der Pfalz,45.09,49.26,68.99,66.09,58.69,19.67,25.08,55.14,0.0,40.74,68.64,20.83,49.94,51.74,40.7
Rheinstetten,15.76,9.33,36.95,37.27,29.87,32.83,21.86,22.98,40.18,0.0,39.82,25.83,16.16,22.92,19.02
Baden-Baden,36.29,38.87,37.38,19.74,17.54,62.37,51.4,27.18,69.72,39.43,0.0,55.37,34.69,41.04,42.46
Kandel,31.34,35.51,55.24,52.34,44.94,15.21,11.33,41.39,22.56,26.99,54.89,0.0,36.19,37.99,26.95
Malsch,16.0,10.31,21.77,28.92,20.45,44.09,33.12,20.9,51.44,17.95,34.78,37.09,0.0,23.97,24.18
Waldbronn,11.81,27.04,22.12,35.11,26.25,45.39,34.41,30.09,52.73,22.45,41.06,38.38,23.97,0.0,22.43
Karlsruhe,15.85,25.07,39.75,39.1,31.7,34.13,23.16,28.14,41.48,20.22,41.64,27.13,24.39,20.33,0.0
