name,population,latitude,longitude
Bensheim,39642,49.6810158,8.6227577
Esslingen am Neckar,92261,48.7427584,9.3071685
Ettlingen,38819,48.9414188,8.4076347
Würzburg,124700,49.7933723,9.9309779
Heilbronn,118122,49.1422910,9.2186550
Ludwigsburg,91116,48.8953937,9.1895147
Nürtingen,41154,48.6265854,9.3365463
Geislingen an der Steige,28122,48.6218033,9.8372796
Wiesloch,26122,49.2942599,8.6987070
Schwäbisch Gmünd,61333,48.7999036,9.7977584
Kirchheim unter Teck,39389,48.6480545,9.4510227
Bietigheim-Bissingen,42210,48.9493243,9.1364229
Gaggenau,28546,48.8030291,8.3201799
Kornwestheim,32177,48.8611498,9.1873875
Herrenberg,30373,48.5963819,8.8702368
Pforzheim,117754,48.8908846,8.7029532
Remseck am Neckar,26615,48.8727053,9.2735947
Mosbach,25197,49.3521085,9.1460205
Heidelberg,152113,49.4093582,8.6947240
Mannheim,310000,49.4892913,8.4673098
Böblingen,46714,48.6849690,9.0113444
Rastatt,47110,48.8574209,8.2088088
Sinsheim,35366,49.2553000,8.8772200
Landau in der Pfalz,46677,49.1982825,8.1123441
Speyer,50284,49.3165553,8.4336150
Fellbach,44403,48.8181556,9.2780850
Göppingen,55846,48.7031377,9.6541116
Tübingen,91239,48.5203263,9.0535960
Baden-Baden,54454,48.7610716,8.2399590
Vaihingen an der Enz,29350,48.9321398,8.9568316
Worms,86283,49.6302618,8.3620898
Leimen,27031,49.3491417,8.6909951
Bühl,28566,48.6945066,8.1344230
Karlsruhe,283959,49.0068705,8.4034195
Winnenden,28373,48.8754571,9.3978478
Weinheim,43272,49.5462349,8.6717458
Bretten,28589,49.0366265,8.7068077
Ludwigshafen am Rhein,163340,49.4704113,8.4381568
Bruchsal,42911,49.1241180,8.5980244
Neckarsulm,25754,49.1911330,9.2248391
Schwäbisch Hall,36660,49.1123963,9.7369047
Backnang,38184,48.9468454,9.4303638
Schorndorf,39323,48.8055169,9.5272665
Stuttgart,613392,48.7784485,9.1800132
Neustadt an der Weinstraße,52400,49.3539802,8.1350021
Frankenthal (Pfalz),47002,49.5353466,8.3541391
Waiblingen,55449,48.8325659,9.3163822
Sindelfingen,61669,48.7084162,9.0035455
Leonberg,45458,48.8012983,9.0150026
